route_id,stop_list
4770,"['F01316', 'F02737', 'F02735', 'F02741', 'F02918', 'F02956', 'F02916', 'F02799', 'F02800', 'F02803', 'F02811', 'F02942', 'F02809', 'F02806']"
1461,"['F03286', 'F03450', 'F03472', '009706', 'F03446', 'F03459', 'F03605']"
3490,"['007884', 'F01012', 'F01005', 'F00921', '008590', 'F02148', 'F02202', 'F02181', 'F02047', 'F02042', 'F02038', '007967']"
3520,"['F01461', 'F01458', 'F01452', 'F01447', 'F01444', 'F01443', 'F04152', 'F04131', 'F04130', 'F04111', 'F04116', 'F04060', 'F04160', 'F04159', 'F04163', 'F04080', 'F04081']"
1425,"['F04017', 'F03837', '086874', '086875', '086876', 'F03620', 'F03623', 'F03786', 'F03879']"
1225,"['069664', 'F00906', 'F00723', 'F00908', 'F00720', '008842', '008283', '070128', 'F00717', 'F00709', 'F00713', 'F00767', '007902']"
1260,"['F00859', 'F00739', 'F00732', 'F00730', 'F00871', 'F00900', 'F00726', 'F00728', 'F00724', 'F00907', '008400']"
3120,"['F00823', 'F00818', 'F00797', 'F00796', 'F00788', 'F00792', 'F00880', 'F00845', 'F03019', 'F03024', 'F03028']"
3281,"['F01867', 'F01594', 'F01713', 'F01708', 'F01836', 'F01679', 'F01829', 'F01673', 'F01617', 'F01620', 'F01623', 'F01827', 'F01649', 'F01645', 'F01567', 'F01565', 'F01731', 'F01265', 'F01264', 'F01180', 'F01220', 'F01215', 'F01331', 'F01301', '009753']"
3280,"['F01298', 'F01300', 'F01330', 'F01213', 'F01219', 'F01181', 'F01263', 'F01266', 'F01732', 'F01566', 'F01568', 'F01646', 'F01650', 'F01826', 'F01624', 'F01619', 'F01618', 'F01674', 'F01830', 'F01676', 'F01835', 'F01707', 'F01712', 'F01596', 'F01866', 'F01808']"
3371,"['F01298', 'F01300', 'F01330', 'F01213', 'F01281', 'F01279', 'F01271', 'F01799', 'F01856', 'F01562', 'F01730', 'F01728', 'F01626', 'F01619']"
1571,"['007977', 'F00339', 'F00356', 'F00368', 'F00366', 'F00364', 'F00374', 'F00376', 'F00378', 'F00380', 'F00382', 'F00384', 'F00387']"
1570,"['007977', 'F00339', 'F00356', 'F00368', 'F00366', 'F00364', 'F00374', 'F00376', 'F00378', 'F00380', 'F00382', 'F00384', 'F00387', '072046', '044372']"
2361,"['F03762', 'F03765', 'F03761', 'F03760', 'F03759', 'F03757', 'F03754', 'F03835', 'F03770', 'F03709', '008832', '050184', 'F03705', 'F03711', 'F03716', 'F03825', 'F03691', 'F03804', 'F03887', 'F03855', 'F03788', 'F03785', '050181', 'F03784', 'F03789', 'F03790', 'F03867', 'F03794', 'F03797', 'F03795']"
1750,"['F03304', 'F03303', 'F03300', 'F03390', 'F03377', 'F03296', 'F03217', 'F03347', 'F03212', 'F03214', 'F03210', 'F02981', 'F02985', 'F03144']"
9090,"['F00950', 'F01014', 'F01007', 'F01174', 'F01205', 'F01208', 'F01177', 'F01224', 'F01218', '008037', 'F01270', 'F01269', '008912', '008917', 'F01559', 'F01725', 'F01570', 'F01642', 'F01651', 'F01629', 'F01628', 'F01621', 'F01675', 'F01671', 'F01838', 'F01685', 'F01701', 'F01699', 'F01841', 'F01714', 'F01695', 'F01844', '008863', 'F01694', 'F01583', '043176', 'F03948']"
9091,"['F00950', 'F01014', 'F01007', 'F01174', 'F01205', 'F01208', 'F01177', 'F01224', 'F01218', '008037', 'F01270', 'F01269', '008912', '008917', 'F01559', 'F01725', 'F01570', 'F01642', 'F01651', 'F01629', 'F01628']"
2970,"['066711', '066712', '066714', '066716', '066718', '066720', '066722']"
2690,"['019316', 'F03484', '066679', '066681', '066683', '066685', '066687', 'F03434', 'F03444']"
0680,"['F03552', 'F03551', 'F01721', 'F01848', 'F01846', 'F01715', 'F01605', 'F01603', 'F01813', 'F01600', 'F01811', 'F01595', 'F01591', 'F01588', 'F01842', 'F01700', 'F01697', '008863', 'F01694', 'F01583', 'F03940', 'F03945', 'F03956', 'F04022', 'F03977', 'F04027', 'F03982', 'F03985', 'F03986', 'F03990']"
2680,"['F03552', 'F03551', 'F01721', 'F01848', 'F01846', 'F01715', 'F01605', 'F01603', 'F01813', 'F01600', 'F01811', 'F01595', 'F01591', 'F01588', 'F01842', 'F01700', 'F01697', '008863', 'F01694', 'F01583', 'F03940', 'F03945', 'F03956', 'F04022', 'F03980', 'F04002', 'F04036', 'F04035', 'F03990']"
2511,"['F04374', '061286', 'F04370', 'F01896', 'F01899', 'F01900', '061273', 'F01916', 'F01918', '061226', '061280']"
2510,"['061222', '061227', '061271', 'F01917', '061272', 'F01901', 'F01898', 'F01897', 'F04371', 'F04373', '050279', '009548', '009470', '009468', '009466', 'F04400', 'F04398', 'F04384', '008865']"
2515,"['081950', '083777', 'F04398', '007931', '083331', '009465', '009467', '009469', '009445', 'F04374', '061286', 'F01896', 'F01900', '061280']"
1810,"['F01476', 'F01479', 'F01483', 'F01490', 'F01488', 'F01364', 'F01469', 'F01470', 'F01408']"
2810,"['008498', 'F01479', 'F01483', 'F01490', 'F01488', 'F01364', 'F01469', 'F01470', 'F01408', 'F01471', 'F01467', 'F01468', 'F01363', 'F01369', 'F01481', '008499', 'F01500', 'F01504', 'F01508', '009146', '009145', '008501', '008914', '120666', '086856', '008500', 'F01482', '008589', 'F01477', 'F01492', 'F01365', 'F01478', '008498']"
0710,"['F04328', 'F04182', 'F04296', 'F04195', 'F04196', '044637']"
1520,"['F04328', 'F04278', 'F04191', 'F04204', 'F04208']"
2235,"['F04127', 'F04123', 'F04126', 'F01440', 'F01404', 'F01386', '011765']"
9800,"['008921', 'F03626', 'F03624', '009480', 'F03633', 'F03685', 'F03683', 'F03721', 'F03706', 'F03702', 'F03829', 'F03698', 'F03695', 'F03428', 'F03601', 'F03430', 'F03432', 'F03565', 'F03563', 'F03597', 'F03591', 'F03524', 'F03590', 'F03525', 'F03518', 'F03588', 'F03517', 'F03473', '011725']"
4780,"['F01131', 'F01129', 'F01124', 'F01047', 'F01045', 'F01041', 'F01034', 'F01033', 'F01075', '009025', 'F00938', 'F00970']"
3370,"['F01298', 'F01300', 'F01330', 'F01213', 'F01281', 'F01279', 'F01271', 'F01799', 'F01856', 'F01562', 'F01730', 'F01728', 'F01626', 'F01619', 'F01618', 'F01674', 'F01830', 'F01676', 'F01835', 'F01707', 'F01712', 'F01596', 'F01866']"
4740,"['F02713', 'F02702', 'F02699', 'F02925', 'F02900', 'F02953', 'F02904', 'F02955', 'F02906', 'F02908']"
5300,"['F01543', 'F01541', 'F01878', 'F01493', 'F01282', 'F01252', 'F01232', 'F01188', 'F01289', 'F00952', 'F00954', 'F00956', 'F00936', 'F02613', 'F02680', 'F02637', 'F02682', 'F02684', 'F00897', 'F00912']"
1015,"['007996', 'F04457', '102568', 'F04459', 'F04461', 'F04463', '008971', '061236', 'F04441', 'F04439', 'F04437', 'F04394', '008943', '061280']"
F3500,"['F03930', 'F03899', 'F03931', 'F03947', 'F03953', 'F03903', 'F04030', 'F03737', 'F03739', 'F03755', 'F03833', 'F03768', 'F03708', 'F03719', 'F03823', 'F03692', 'F03803', 'F03885', 'F03853', 'F03791']"
F3425,"['F01461', 'F03926', 'F03960', 'F04022', 'F03980', 'F04003', 'F04039', 'F04031', 'F03904', 'F03954', 'F03946', 'F03932', 'F03900', 'F03930']"
4700,"['F02919', 'F02703', 'F02706', 'F02707', 'F01135', 'F01126', 'F01047', 'F01045', 'F01041', 'F01034', 'F01033', 'F01075', '009025', 'F00938', 'F00970']"
4821,"['F02758', 'F02766', 'F02773', 'F02932', 'F02787', 'F02938', 'F02790', 'F02804', 'F02811', 'F02943', 'F02813', 'F02820', '008458', '008459', '008461']"
4820,"['F02758', 'F02766', 'F02773', 'F02932', 'F02787', 'F02938', 'F02790', 'F02804', 'F02811', 'F02943', 'F02813', 'F02820', '008458', '008459', '008461', 'F02963', '016938', 'F02890']"
1340,"['F00642', 'F00646', 'F00649', 'F00464', 'F00468', '044131', 'F00476', 'F00482', 'F00478', 'F00683', 'F00498', 'F00496', 'F00494', 'F00491', 'F00667', 'F00507', 'F00509', 'F00577', 'F00583', 'F00619']"
