stop_id,stop_name,stop_lat,stop_lon,nearest_stops
F01407,Közvágóhíd H (Kvassay Jenő út),47.466218,19.076257,"['009290', '062375', '082357', '19720', '19720236', '19720237', 'F01356', 'F01401', 'F01402', 'F01403', 'F01404', 'MERGED_F01401']"
F01408,"József Attila ltp., Távíró utca",47.460599,19.114913,"['F01470', 'F01471']"
F01411,Nemzeti Atlétikai Stadion,47.465036,19.073484,['F01412']
F01412,Nemzeti Atlétikai Stadion,47.464154,19.07335,['F01411']
F01413,Magyar Aszfalt,47.459702,19.087871,['F01414']
F01414,Magyar Aszfalt,47.459828,19.087645,['F01413']
F01417,Kén utca H (Illatos út),47.454819,19.087509,"['19726', '19726238', '19726239', 'F01418', 'F01419', 'F01420']"
F01418,Kén utca H,47.455179,19.086422,"['19726', '19726238', '19726239', 'F01417', 'F01419', 'F01420']"
F01419,Kén utca H,47.454351,19.087283,"['19726', '19726238', '19726239', 'F01417', 'F01418', 'F01420']"
F01420,Kén utca H (Illatos út),47.454603,19.087947,"['19726', '19726238', '19726239', 'F01417', 'F01418', 'F01419', 'F01421', 'F01422']"
F01421,Illatos út,47.454674,19.090479,"['F01420', 'F01422', 'F01423', 'F01424']"
F01422,Gubacsi út,47.454332,19.090121,"['F01420', 'F01421', 'F01423', 'F01424']"
F01423,Gubacsi út,47.453864,19.091924,"['008874', 'F01421', 'F01422', 'F01424', 'F01427']"
F01424,Illatos út,47.453621,19.091248,"['008874', 'F01421', 'F01422', 'F01423', 'F01427']"
F01425,Külső Mester utca,47.45424,19.096221,['F01426']
F01426,Külső Mester utca,47.454338,19.097441,['F01425']
F01427,Timót utca,47.452218,19.09187,"['008874', 'F01423', 'F01424', 'F01428']"
F01428,Timót utca,47.451831,19.092254,"['008874', 'F01427']"
F01429,Timót utca / Soroksári út,47.451661,19.08874,['F01430']
F01430,Timót utca / Soroksári út,47.45087,19.088872,['F01429']
F01431,Szabadkai út,47.444311,19.092818,['F01432']
F01432,Szabadkai út,47.443529,19.092884,['F01431']
F01434,Gubacsi út / Határ út,47.444364,19.097233,"['008440', '008469', '226468', 'F01435', 'F01436', 'F01437', 'F01438', 'F01439', 'F04152']"
F01435,Gubacsi út / Határ út,47.444525,19.097498,"['008440', '008469', '226468', 'F01434', 'F01436', 'F01437', 'F01438', 'F01439', 'F04152', 'F04153']"
F01436,Gubacsi út / Határ út,47.444067,19.096928,"['008440', '008469', '226468', 'F01434', 'F01435', 'F01437', 'F01438', 'F01439']"
F01437,Gubacsi út / Határ út,47.444292,19.09653,"['008440', '008469', '226468', 'F01434', 'F01435', 'F01436', 'F01438', 'F01439']"
F01438,Gubacsi út / Határ út,47.444529,19.097752,"['008440', '008469', '226468', 'F01434', 'F01435', 'F01436', 'F01437', 'F01439', 'F04152', 'F04153']"
F01439,Gubacsi út / Határ út,47.4438,19.096743,"['008440', '008469', '226468', 'F01434', 'F01435', 'F01436', 'F01437', 'F01438']"
F01440,Határ út,47.442053,19.09499,['F01441']
F01441,Baross utca,47.441549,19.095056,['F01440']
F01442,Ősz utca,47.446039,19.100206,['F01443']
F01443,Ősz utca,47.446219,19.100299,['F01442']
F01444,Jókai Mór utca / Határ út,47.449023,19.104505,"['F01445', 'F01446']"
F01445,Jókai Mór utca / Határ út,47.448663,19.104147,"['F01444', 'F01446']"
F01446,Jókai Mór utca / Határ út,47.44856,19.10498,"['F01444', 'F01445']"
F01447,Mártírok útja / Határ út,47.452052,19.10907,"['F01448', 'F01449', 'F01450']"
F01448,Mártírok útja / Határ út,47.451863,19.108991,"['F01447', 'F01449', 'F01450']"
F01449,Mártírok útja / Határ út,47.450887,19.110592,"['F01447', 'F01448', 'F01450']"
F01450,Mártírok útja / Határ út,47.451814,19.109439,"['F01447', 'F01448', 'F01449']"
F01451,Nagykőrösi út / Határ út,47.455418,19.114695,"['008377', '009632', 'F01370', 'F01371', 'F01452', 'F01453', 'F01454']"
F01452,Nagykőrösi út / Határ út,47.455431,19.114034,"['008377', '009632', 'F01370', 'F01371', 'F01451', 'F01453', 'F01454']"
F01453,Nagykőrösi út / Határ út,47.455706,19.113714,"['008377', '009632', 'F01370', 'F01371', 'F01451', 'F01452', 'F01454']"
F01454,Nagykőrösi út / Határ út,47.455764,19.114684,"['008377', '009632', 'F01370', 'F01371', 'F01451', 'F01452', 'F01453']"
F01455,Mészáros Lőrinc utca,47.459749,19.120986,"['F01456', 'F01457', 'F01458']"
F01456,Mészáros Lőrinc utca,47.4593,19.120044,"['F01455', 'F01457', 'F01458']"
F01457,Mészáros Lőrinc utca,47.459543,19.120283,"['008575', 'F01455', 'F01456', 'F01458']"
F01458,Mészáros Lőrinc utca,47.459714,19.120363,"['008575', 'F01455', 'F01456', 'F01457']"
F01459,Határ út M,47.464405,19.126338,"['008076', '008490', 'CSF01541', 'F01460', 'F01461', 'F01462', 'F01542', 'F03928', 'F03929', 'F03930', 'F04014', 'F04015', 'F04017', 'F04018', 'F04019', 'LM3HU1', 'LM3HU2', 'LM3HU3', 'LM3HUA', 'LM3HUA1', 'LM3HUB', 'LM3HUB1']"
F01460,Határ út M,47.464878,19.125957,"['008076', '008490', 'CSF01541', 'F01459', 'F01461', 'F01462', 'F01463', 'F01541', 'F01542', 'F03928', 'F03929', 'F03930', 'F04014', 'F04015', 'F04017', 'F04018', 'F04019', 'LM3HU1', 'LM3HU2', 'LM3HU3', 'LM3HUA', 'LM3HUA1', 'LM3HUB', 'LM3HUB1']"
F01461,Határ út M,47.465008,19.12618,"['008076', '008490', 'CSF01541', 'F01459', 'F01460', 'F01462', 'F01463', 'F01464', 'F01541', 'F01542', 'F03928', 'F03929', 'F03930', 'F04014', 'F04015', 'F04017', 'F04018', 'F04019', 'LM3HU1', 'LM3HU2', 'LM3HU3', 'LM3HUA', 'LM3HUA1', 'LM3HUB', 'LM3HUB1']"
F01462,Határ út M,47.464963,19.126073,"['008076', '008490', 'CSF01541', 'F01459', 'F01460', 'F01461', 'F01463', 'F01464', 'F01541', 'F01542', 'F03928', 'F03929', 'F03930', 'F04014', 'F04015', 'F04017', 'F04018', 'F04019', 'LM3HU1', 'LM3HU2', 'LM3HU3', 'LM3HUA', 'LM3HUA1', 'LM3HUB', 'LM3HUB1']"
F01463,Kőér utcai uszoda,47.466517,19.126213,"['008076', 'CSF01541', 'F01460', 'F01461', 'F01462', 'F01464', 'F01541', 'F01542', 'F03929', 'F03930', 'LM3HU1', 'LM3HU2', 'LM3HU3', 'LM3HUA', 'LM3HUA1', 'LM3HUB', 'LM3HUB1']"
F01464,Kőér utcai uszoda,47.466644,19.1265,"['008076', 'CSF01541', 'F01461', 'F01462', 'F01463', 'F01541', 'F01542', 'F03929', 'F03930', 'LM3HU1', 'LM3HU2', 'LM3HU3', 'LM3HUA', 'LM3HUA1', 'LM3HUB', 'LM3HUB1']"
F01465,Pöttyös utca M,47.4688,19.117431,"['008077', '044115', 'CSF01878', 'F01466', 'F01878', 'F01879', 'L008077', 'LM3PU1', 'LM3PU2']"
F01466,Pöttyös utca M,47.468746,19.116873,"['008077', '044115', 'CSF01878', 'F01465', 'F01878', 'F01879', 'L008077', 'LM3PU1', 'LM3PU2']"
F01467,Friss utca,47.463421,19.117928,[]
F01468,Valéria tér,47.464933,19.116099,"['044128', 'F01469']"
F01469,Valéria tér,47.465339,19.114389,"['044128', 'F01468']"
F01470,Lobogó utca,47.462029,19.114915,"['F01408', 'F01471']"
F01471,Lobogó utca,47.461686,19.115565,"['F01408', 'F01470']"
F01474,Táblás utca,47.45537,19.10325,['F01475']
F01475,Táblás utca,47.455477,19.104974,['F01474']
F01476,Aszódi utca,47.463682,19.100792,['008498']
