service_id,date,exception_type
59626,20251121,1
59626,20251122,1
59626,20251123,1
59626,20251124,1
59626,20251125,1
59626,20251126,1
59626,20251127,1
59627,20251031,1
59627,20251103,1
59627,20251104,1
59627,20251105,1
59627,20251106,1
59627,20251107,1
59627,20251110,1
59627,20251114,1
59627,20251117,1
59627,20251118,1
59627,20251119,1
59627,20251120,1
59627,20251121,1
59627,20251124,1
59627,20251125,1
59627,20251126,1
59627,20251127,1
59628,20251101,1
59628,20251102,1
59628,20251103,1
59628,20251104,1
59628,20251105,1
59628,20251106,1
59628,20251107,1
59628,20251108,1
59628,20251109,1
59628,20251110,1
59628,20251111,1
59628,20251112,1
59628,20251113,1
59628,20251114,1
59628,20251115,1
59628,20251116,1
59628,20251117,1
59628,20251118,1
59628,20251119,1
59628,20251120,1
59628,20251121,1
59628,20251122,1
59628,20251123,1
59628,20251124,1
59628,20251125,1
59628,20251126,1
59628,20251127,1
59629,20251101,1
59629,20251102,1
59629,20251103,1
59629,20251104,1
59629,20251105,1
59629,20251106,1
59629,20251107,1
59629,20251108,1
59629,20251109,1
59629,20251110,1
59629,20251112,1
59629,20251113,1
59629,20251114,1
59629,20251115,1
59629,20251116,1
59629,20251117,1
59629,20251118,1
59629,20251119,1
59629,20251120,1
59629,20251121,1
59629,20251122,1
59629,20251123,1
59629,20251124,1
59629,20251125,1
59629,20251126,1
59629,20251127,1
59630,20251101,1
59630,20251102,1
59630,20251103,1
59630,20251104,1
59630,20251105,1
59630,20251106,1
59630,20251107,1
59630,20251108,1
59630,20251109,1
59630,20251110,1
59630,20251113,1
59630,20251114,1
59630,20251115,1
59630,20251116,1
59630,20251117,1
59630,20251118,1
59630,20251119,1
59630,20251120,1
59630,20251121,1
59630,20251122,1
59630,20251123,1
59630,20251124,1
59630,20251125,1
59630,20251126,1
59630,20251127,1
59631,20251101,1
59631,20251102,1
59631,20251103,1
59631,20251104,1
59631,20251105,1
59631,20251106,1
59631,20251107,1
59631,20251108,1
59631,20251109,1
59631,20251110,1
59631,20251114,1
59631,20251115,1
59631,20251116,1
59631,20251117,1
59631,20251118,1
59631,20251119,1
59631,20251120,1
59631,20251121,1
59631,20251122,1
59631,20251123,1
59631,20251124,1
59631,20251125,1
59631,20251126,1
59631,20251127,1
59632,20251101,1
59632,20251102,1
59632,20251108,1
59632,20251109,1
59632,20251115,1
59632,20251116,1
59632,20251122,1
59632,20251123,1
59633,20251101,1
59633,20251102,1
59633,20251108,1
59633,20251115,1
59633,20251116,1
59633,20251122,1
59633,20251123,1
59634,20251101,1
59634,20251102,1
59634,20251109,1
59634,20251116,1
59634,20251123,1
59635,20251101,1
59635,20251102,1
59635,20251115,1
59635,20251116,1
59635,20251122,1
59635,20251123,1
59636,20251101,1
59636,20251102,1
59636,20251122,1
59636,20251123,1
59637,20251103,1
59637,20251104,1
59637,20251105,1
59637,20251106,1
59637,20251107,1
59637,20251108,1
59637,20251109,1
59637,20251110,1
59637,20251111,1
59637,20251112,1
59637,20251113,1
59637,20251114,1
59637,20251115,1
59637,20251116,1
59637,20251117,1
59637,20251118,1
59637,20251119,1
59637,20251120,1
59637,20251121,1
59638,20251103,1
59638,20251104,1
59638,20251105,1
59638,20251106,1
59638,20251107,1
59638,20251110,1
59638,20251111,1
59638,20251112,1
59638,20251113,1
59638,20251114,1
59638,20251117,1
59638,20251118,1
59638,20251119,1
59638,20251120,1
59638,20251121,1
59639,20251103,1
59639,20251104,1
59639,20251105,1
59639,20251106,1
59639,20251107,1
59639,20251110,1
59639,20251111,1
59639,20251112,1
59639,20251113,1
59639,20251114,1
59639,20251117,1
59639,20251118,1
59639,20251119,1
59639,20251120,1
59639,20251121,1
59639,20251124,1
59639,20251125,1
59639,20251126,1
59639,20251127,1
59640,20251103,1
59640,20251104,1
59640,20251105,1
59640,20251106,1
59640,20251107,1
59640,20251110,1
59640,20251114,1
59640,20251117,1
59640,20251118,1
59640,20251119,1
59640,20251120,1
59640,20251121,1
59640,20251124,1
59640,20251125,1
59640,20251126,1
59640,20251127,1
59641,20251108,1
59642,20251108,1
59642,20251109,1
59643,20251108,1
59643,20251109,1
59643,20251115,1
59643,20251116,1
59644,20251108,1
59644,20251115,1
59644,20251122,1
59645,20251109,1
